gene	minta	value	week	kezel	week_kezel
gene1	minta1	0.07466587023071755	week1	control	week1_control
gene2	minta1	0.25782124990666766	week1	control	week1_control
gene3	minta1	0.33898305084745767	week1	control	week1_control
gene4	minta1	0.3285298290151572	week1	control	week1_control
gene1	minta2	0.1642512077294686	week1	control	week1_control
gene2	minta2	0.21739130434782608	week1	control	week1_control
gene3	minta2	0.32367149758454106	week1	control	week1_control
gene4	minta2	0.2946859903381642	week1	control	week1_control
gene1	minta3	0.17195327456352527	week1	kezelt	week1_kezelt
gene2	minta3	0.34390654912705054	week1	kezelt	week1_kezelt
gene3	minta3	0.34333337154517213	week1	kezelt	week1_kezelt
gene4	minta3	0.14080680476425206	week1	kezelt	week1_kezelt
gene1	minta4	0.19268728263934584	week1	kezelt	week1_kezelt
gene2	minta4	0.2457781119779428	week1	kezelt	week1_kezelt
gene3	minta4	0.5072218566907918	week1	kezelt	week1_kezelt
gene4	minta4	0.054312748691919675	week1	kezelt	week1_kezelt
gene1	minta5	0.05387872166074844	week2	control	week2_control
gene2	minta5	0.12949558408449424	week2	control	week2_control
gene3	minta5	0.5348720750250388	week2	control	week2_control
gene4	minta5	0.2817536192297187	week2	control	week2_control
gene1	minta6	0.3299417025745012	week2	control	week2_control
gene2	minta6	0.25017199551001196	week2	control	week2_control
gene3	minta6	0.16656407285367708	week2	control	week2_control
gene4	minta6	0.25332222906180973	week2	control	week2_control
gene1	minta7	0.1786272495869245	week2	kezelt	week2_kezelt
gene2	minta7	0.4221408475862993	week2	kezelt	week2_kezelt
gene3	minta7	0.20274192828115928	week2	kezelt	week2_kezelt
gene4	minta7	0.19648997454561692	week2	kezelt	week2_kezelt
gene1	minta8	0.03383865728207904	week2	kezelt	week2_kezelt
gene2	minta8	0.08572459844793358	week2	kezelt	week2_kezelt
gene3	minta8	0.6033432593394694	week2	kezelt	week2_kezelt
gene4	minta8	0.27709348493051794	week2	kezelt	week2_kezelt
